FullStockSymbol,QuoteStockSymbol,ExchangeName
Tesla Inc,TSLA,NASDAQ Stock Exchange
Nintendo LTD ORD,NTDOF,OTC Pink Limited
Advanced Micro Devices Inc Com,AMD,NASDAQ Stock Exchange
"Verb Technology Company, Inc. ",VERB,NASDAQ Stock Exchange
Rent the Runway Inc.,RENT,NASDAQ Stock Exchange
Data Dog Inc,DDOG,NASDAQ Stock Exchange
D-Wave Quantum Inc.,QBTS,New York Stock Exchange
Kosmos Energy ltd,KOS,New York Stock Exchange
Indonesia Energy Corporation ltd,INDO,New York Stock Exchange
IonQ Inc.,IONQ,New York Stock Exchange
iShares Core S&P Small-Cap ETF,IJR,ARCA
Vanguard High Dividend Yield Index Fund ETF,VYM,ARCA
Vanguard S&P 500 ETF,VOO,ARCA
Vanguard Mid-Cap ETF,VO,ARCA
Schwab S&P 500 Index,SWPPX,null
Shopify Inc.,SHOP,New York Stock Exchange
Schwab US Dividend Equity ETF,SCHD,ARCA
